City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
410,tucuma,-0.1833,-50.05,82.38200000000002,76,100,1.75,BR,1675609372
411,san policarpo,12.1791,125.5072,79.10600000000002,84,19,6.81,PH,1675609623
412,leningradskiy,69.3833,178.4167,-27.32799999999996,99,100,1.97,RU,1675609624
413,deputatskiy,69.3,139.9,-22.30599999999997,99,100,1.43,RU,1675609624
414,semey,50.4111,80.2275,10.994000000000074,96,100,3.04,KZ,1675609626
415,khani,41.9563,42.9566,40.56800000000008,64,100,2.38,GE,1675609626
416,caravelas,-17.7125,-39.2481,88.64600000000004,55,1,5.72,BR,1675609627
417,sao gabriel da cachoeira,-0.1303,-67.0892,78.51200000000006,85,98,1.24,BR,1675609628
418,uyuni,-20.4597,-66.825,49.082000000000015,65,100,1.39,BO,1675609629
419,yenagoa,4.9247,6.2642,84.57800000000006,65,100,1.98,NG,1675609630
420,oeiras do para,-2.0031,-49.8544,86.108,60,100,1.93,BR,1675609630
421,longyearbyen,78.2186,15.6401,21.038000000000046,73,100,19.55,SJ,1675609632
422,strai,58.2,7.9,41.63000000000004,60,0,1.03,NO,1675609634
423,lerwick,60.1545,-1.1494,46.4,81,100,8.71,GB,1675609635
424,pishin,30.5803,66.9961,53.65400000000005,50,71,5.04,PK,1675609636
425,bozoum,6.3193,16.3799,97.82600000000009,8,64,3.62,CF,1675609517
426,ust-nera,64.5667,143.2,-30.837999999999944,100,100,0.15,RU,1675609637
427,susanville,40.4163,-120.653,35.438000000000045,84,0,3.09,US,1675609638
428,bakchar,57.0186,82.0711,0.9680000000000355,100,96,0.97,RU,1675609640
429,rocha,-34.4833,-54.3333,77.91800000000009,51,35,4.26,UY,1675609641
430,bani,18.2833,-70.3333,80.85200000000007,60,7,6.72,DO,1675609642
431,sao francisco,-15.9486,-44.8644,89.20400000000005,50,39,0.76,BR,1675609643
432,saint-georges,12.0564,-61.7485,82.07600000000009,74,75,10.8,GD,1675609504
433,bardiyah,31.7561,25.0865,57.97400000000001,54,97,12.74,LY,1675609644
434,ariquemes,-9.9133,-63.0408,78.29600000000005,84,97,0.7,BR,1675609354
435,beberibe,-4.1797,-38.1306,82.76000000000008,74,82,4.11,BR,1675609646
436,green river,41.5286,-109.4662,25.196000000000048,65,100,1.34,US,1675609646
437,geraldton,-28.7667,114.6,73.81400000000004,73,100,6.17,AU,1675609648
438,necochea,-38.5473,-58.7368,84.57800000000006,31,18,4.68,AR,1675609537
439,adrar,20.5022,-10.0711,72.48200000000001,17,48,5.51,MR,1675609366
440,kieta,-6.2167,155.6333,77.16200000000006,88,100,1.28,PG,1675609650
441,katangli,51.7102,143.2326,-3.423999999999964,95,100,3.5,RU,1675609650
442,bida,9.0833,6.0167,105.00800000000001,8,94,2.14,NG,1675609436
443,sokolo,14.7328,-6.1219,89.87000000000006,9,5,4.09,ML,1675609651
444,havre-saint-pierre,50.2334,-63.5986,-7.2399999999999665,71,100,4.63,CA,1675609652
445,santa maria,-29.6842,-53.8069,80.22200000000004,29,4,3.27,BR,1675609645
446,strezhevoy,60.7333,77.5889,-2.9379999999999455,100,98,1.5,RU,1675609652
447,nanakuli,21.3906,-158.1547,73.34600000000005,78,0,2.06,US,1675609654
448,carmo do rio claro,-20.9719,-46.1189,79.25,69,100,3.04,BR,1675609655
449,nanortalik,60.1432,-45.2371,24.116000000000007,52,99,5.77,GL,1675609655
450,agadez,19.75,10.25,80.72600000000008,10,31,6.03,NE,1675609656
451,turukhansk,65.8167,87.9833,5.090000000000021,98,98,1.69,RU,1675609657
452,masunga,-20.6246,27.4488,79.19600000000005,47,100,3.66,BW,1675609657
453,jacareacanga,-6.2222,-57.7528,80.87000000000006,75,96,1.06,BR,1675609657
454,valdivia,-39.8142,-73.2459,75.29000000000002,50,12,1.72,CL,1675609649
455,luau,-10.7073,22.2247,66.52400000000002,88,97,2.31,AO,1675609659
456,rawah,34.4816,41.9093,59.07200000000004,42,78,5.05,IQ,1675609660
457,ust-kuyga,70.0167,135.6,-25.239999999999966,98,100,0.89,RU,1675609660
458,evanston,42.0411,-87.6901,39.110000000000085,72,20,5.66,US,1675609661
459,tilichiki,60.4667,166.1,-21.80199999999998,94,9,3.83,RU,1675609662
460,rio gallegos,-51.6226,-69.2181,57.254000000000055,26,20,20.06,AR,1675609665
461,morehead,37.2711,-87.1764,47.78600000000007,60,100,4.63,US,1675609665
462,payakumbuh,-0.2202,100.6308,68.95400000000005,97,100,1.42,ID,1675609666
463,chiredzi,-21.05,31.6667,88.142,36,41,5.64,ZW,1675609666
464,jataizinho,-23.2542,-50.98,88.37600000000009,62,40,3.6,BR,1675609667
465,karasburg,-28.0167,18.75,92.87600000000009,20,4,3.32,NA,1675609667
466,batouri,4.4333,14.3667,99.05,10,26,1.89,CM,1675609669
467,mehamn,71.0357,27.8492,22.946000000000048,74,20,7.72,NO,1675609669
468,zabol,32.25,67.25,36.842,86,61,1.34,AF,1675609670
469,mayo,38.8876,-76.5119,42.188000000000045,47,0,4.63,US,1675609670
470,sibu,2.3,111.8167,74.174,98,91,0.98,MY,1675609670
471,huaiyin,33.5886,119.0192,42.44000000000002,81,100,3.06,CN,1675609673
472,black river,18.0264,-77.8487,80.63600000000007,56,0,2.11,JM,1675609673
473,tomatlan,19.9333,-105.25,73.77800000000006,42,1,0.86,MX,1675609673
474,nanpiao,41.0982,120.7479,27.248000000000026,42,82,2.04,CN,1675609674
475,shenjiamen,29.9576,122.298,52.05200000000008,89,100,6.15,CN,1675609674
476,novaya ladoga,60.1025,32.3019,18.158000000000005,92,100,3.48,RU,1675609675
477,ponerihouen,-21.0833,165.4,80.942,87,94,4.4,NC,1675609676
478,misratah,32.3754,15.0925,60.044000000000075,67,37,9.21,LY,1675609676
479,ritchie,-29.038,24.6028,88.44800000000002,23,78,5.28,ZA,1675609677
480,hammerfest,70.6634,23.6821,28.85,86,75,0.51,NO,1675609677
481,vagur,61.4732,-6.8119,44.83399999999999,85,100,16.46,FO,1675609677
